date,indice,value
1991-09-17,00471X0095,63.11
1991-10-16,00471X0095,62.64
1991-12-11,00471X0095,62.11
1992-02-27,00471X0095,62.33
1992-04-13,00471X0095,62.70
1992-06-22,00471X0095,64.97
1992-08-26,00471X0095,64.35
1992-11-04,00471X0095,64.80
1993-01-05,00471X0095,70.85
1993-03-05,00471X0095,71.34
1993-04-05,00471X0095,70.57
1993-05-03,00471X0095,69.55
1993-05-27,00471X0095,68.64
1993-06-28,00471X0095,67.36
1993-07-27,00471X0095,66.38
1993-09-09,00471X0095,65.18
1993-10-19,00471X0095,64.55
1994-02-15,00471X0095,73.80
1994-03-02,00471X0095,73.86
1994-03-20,00471X0095,73.54
1994-04-07,00471X0095,73.57
1994-05-09,00471X0095,74.59
1994-05-26,00471X0095,74.25
1994-06-17,00471X0095,73.37
1994-07-01,00471X0095,72.74
1994-08-20,00471X0095,69.84
1994-09-22,00471X0095,68.72
1994-09-29,00471X0095,68.45
1994-10-30,00471X0095,68.28
1994-11-17,00471X0095,67.74
1994-12-08,00471X0095,66.11
1995-02-03,00471X0095,69.94
1995-02-26,00471X0095,73.95
1995-03-09,00471X0095,75.20
1995-03-19,00471X0095,75.65
1995-03-30,00471X0095,75.70
1995-04-06,00471X0095,75.62
1995-04-27,00471X0095,75.07
1995-05-29,00471X0095,73.56
1995-06-13,00471X0095,72.77
1995-06-20,00471X0095,72.39
1995-07-03,00471X0095,71.69
1995-07-14,00471X0095,71.13
1995-08-17,00471X0095,69.35
1995-08-29,00471X0095,68.76
1995-10-11,00471X0095,67.04
1995-12-13,00471X0095,65.18
1996-02-07,00471X0095,64.12
1996-04-04,00471X0095,63.64
1996-05-07,00471X0095,63.40
1996-05-31,00471X0095,63.19
1996-06-19,00471X0095,62.99
1996-07-03,00471X0095,62.83
1996-08-08,00471X0095,62.34
1996-09-04,00471X0095,62.01
1996-10-11,00471X0095,61.57
1996-11-07,00471X0095,61.31
1996-12-10,00471X0095,61.15
1997-01-23,00471X0095,61.40
1997-01-30,00471X0095,61.42
1997-02-24,00471X0095,61.53
1997-03-27,00471X0095,61.85
1997-04-17,00471X0095,61.97
1997-04-29,00471X0095,62.19
1997-05-29,00471X0095,62.19
1997-07-10,00471X0095,61.91
1997-08-27,00471X0095,61.41
1997-09-24,00471X0095,61.13
1997-10-03,00471X0095,61.05
1997-10-31,00471X0095,60.83
1997-11-27,00471X0095,60.70
1997-12-24,00471X0095,60.82
1998-01-22,00471X0095,61.22
1998-01-27,00471X0095,61.34
1998-02-20,00471X0095,63.19
1998-02-25,00471X0095,63.31
1998-03-09,00471X0095,63.59
1998-03-20,00471X0095,63.71
1998-03-31,00471X0095,63.85
1998-04-20,00471X0095,63.99
1998-04-28,00471X0095,64.04
1998-05-08,00471X0095,64.11
1998-05-15,00471X0095,64.16
1998-05-21,00471X0095,64.20
1998-05-28,00471X0095,64.23
1998-06-02,00471X0095,64.08
1998-06-04,00471X0095,64.22
1998-06-11,00471X0095,64.21
1998-06-18,00471X0095,64.18
1998-06-25,00471X0095,64.14
1998-07-09,00471X0095,63.99
1998-07-16,00471X0095,63.91
1998-07-23,00471X0095,63.81
1998-07-30,00471X0095,63.71
1998-08-05,00471X0095,63.59
1998-08-13,00471X0095,63.47
1998-08-20,00471X0095,63.33
1998-08-28,00471X0095,63.19
1998-09-03,00471X0095,63.07
